job,operation,machine,start,finish
21,7,0,1336,1413
7,8,2,1353,1389
23,7,8,1465,1562
3,6,3,1546,1553
29,8,1,1321,1405
10,8,2,1404,1471
2,7,8,1562,1596
22,7,1,1405,1449
3,7,1,1553,1644
22,8,0,1527,1567
3,8,9,1644,1679
10,9,6,1513,1606
29,9,4,1513,1612
25,8,1,1515,1544
15,8,1,1644,1702
14,9,4,1612,1691
21,8,5,1577,1642
28,6,3,1468,1528
28,7,1,1544,1551
2,8,7,1596,1676
17,9,7,1538,1572
9,8,7,1676,1708
4,8,5,1642,1692
27,8,5,1692,1748
28,8,0,1567,1655
6,8,0,1655,1750
19,8,9,1551,1574
13,9,8,1596,1643
3,9,8,1679,1726
23,8,6,1606,1683
19,9,4,1691,1780
24,9,7,1572,1579
20,9,2,1471,1511
27,9,4,1780,1832
4,9,7,1708,1775
12,9,0,1750,1794
11,9,6,1683,1746
23,9,1,1702,1782
21,9,3,1642,1697
28,9,9,1679,1728
15,9,3,1702,1780
2,9,9,1728,1810
16,8,2,1511,1610
9,9,1,1782,1808
25,9,8,1726,1822
22,9,6,1746,1829
6,9,2,1750,1832
1,8,3,1553,1638
1,9,6,1829,1850
16,9,7,1775,1839
7,9,5,1748,1763
